Rank	NCBItaxID	SciNameFull	SciName
S	33724	Nilaparvata lugens reovirus	Nilaparvata lugens
S	1345661	Nilaparvata lugens honeydew virus-2	Nilaparvata lugens
S	1285600	Nile crocodilepox virus	Nile crocodilepox
D1	1802340	Nitrospinae/Tectomicrobia group	Nitrospinae/Tectomicrobia group
S	96242	Nitrospira cf. moscoviensis SBR1015	Nitrospira cf.
G1	2509502	Nobecovirus	Nobecovirus
S	2340916	Nocardia sp. YIM PH 21724	Nocardia sp. YIM PH
S	2201891	Nocardioides sp. CCTCC AB 2018079	Nocardioides sp. CCTCC AB
S	1562065	Norway rat pegivirus	Norway rat
S	489910	Nosocomiicoccus ampullae	Nosocomiicoccus ampullae
S1	551115	'Nostoc azollae' 0708	Nostoc azollae
S	1618022	Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont'	Nostoc sp. Lobaria pulmonaria
S	1206980	Nostoc sp. 'Peltigera malacea cyanobiont' DB3992	Nostoc sp. Peltigera malacea
S	2014530	Nostoc sp. 'Peltigera membranacea cyanobiont' 213	Nostoc sp. Peltigera membranacea
S	2014529	Nostoc sp. 'Peltigera membranacea cyanobiont' 210A	Nostoc sp. Peltigera membranacea
S	2014531	Nostoc sp. 'Peltigera membranacea cyanobiont' 232	Nostoc sp. Peltigera membranacea
S	1261031	Nostoc sp. 'Peltigera membranacea cyanobiont' N6	Nostoc sp. Peltigera membranacea
O2	1219117	unclassified Nostocales (miscellaneous)	Nostocales (miscellaneous)
S	1940762	Nostocales cyanobacterium HT-58-2	Nostocales cyanobacterium
F1	2169601	Nymbaxtervirinae	Nymbaxtervirinae
S1	318852	Oak-Vale virus	Oak-Vale virus
S	157837	Oat mosaic virus	Oat mosaic
O2	439484	unclassified Oceanospirillales (miscellaneous)	Oceanospirillales (miscellaneous)
F1	2501984	Okanivirinae	Okanivirinae
S	227137	Okra yellow vein mosaic virus	Okra yellow
S	260710	Olavius algarvensis spirochete endosymbiont	Olavius algarvensis
O2	1233498	OM43 clade	OM43 clade
S	1917232	Only Syngen Nebraska virus 5	Only Syngen
O1	1593277	Onygenales incertae sedis	Onygenales 
S	1046267	Operophtera brumata nucleopolyhedrovirus	Operophtera brumata
D1	33154	Opisthokonta	Opisthokonta
S	2200716	Opuntia tobamovirus 2	Opuntia tobamovirus
S	1972624	Ord River hapavirus	Ord River
S1	1620895	Ord River virus	Ord River
S	262177	Orgyia pseudotsugata multiple nucleopolyhedrovirus	Orgyia pseudotsugata
F1	2501931	Orthocoronavirinae	Orthocoronavirinae
F1	2560076	Orthoparamyxovirinae	Orthoparamyxovirinae
G	1868215	Orthopneumovirus	Orthopneumovirus
F1	327045	Orthoretrovirinae	Orthoretrovirinae
S	92521	Oryctes rhinoceros nudivirus	Oryctes rhinoceros
O2	44887	unclassified Oscillatoriales (miscellaneous)	Oscillatoriales (miscellaneous)
S	864702	Oscillatoriales cyanobacterium JSC-12	Oscillatoriales cyanobacterium
S	1751289	Oscillatoriales cyanobacterium MTP1	Oscillatoriales cyanobacterium
P1	1301283	Oscillatoriophycideae	Oscillatoriophycideae
S	261939	Ostreid herpesvirus 1	Ostreid herpesvirus
S	1891732	Otomops martiensseni polyomavirus 2	Otomops martiensseni
S1	2035998	Otomops polyomavirus KY156	Otomops polyomavirus
F1	1985285	Ounavirinae	Ounavirinae
S	10398	Ovine gammaherpesvirus 2	Ovine gammaherpesvirus
S1	1538454	Pacui virus	Pacui virus
S	867080	Paenibacillus sp. IHB B 3415	Paenibacillus sp. IHB B
S	867076	Paenibacillus sp. IHB B 3084	Paenibacillus sp. IHB B
S	1891736	Pan troglodytes polyomavirus 4	Pan troglodytes
S	2003507	Panine alphaherpesvirus 3	Panine alphaherpesvirus
S	188763	Panine betaherpesvirus 2	Panine betaherpesvirus
P1	6036	Pansporoblastina	Pansporoblastina
S	340907	Papiine alphaherpesvirus 2	Papiine alphaherpesvirus
S	106332	Papiine gammaherpesvirus 1	Papiine gammaherpesvirus
S	1891740	Papio cynocephalus polyomavirus 1	Papio cynocephalus
S1	1667587	Papio ursinus cytomegalovirus	Papio ursinus
S1	1647282	Paracoccus phage Shpa	Paracoccus phage Shpa
S	381899	Paramecium bursaria Chlorella virus A1	Paramecium bursaria
S1	42683	Paramecium bursaria Chlorella virus CVA-1	Paramecium bursaria
S	83442	Paramecium bursaria Chlorella virus NYs1	Paramecium bursaria
S1	399781	Paramecium bursaria Chlorella virus FR483	Paramecium bursaria
S	10506	Paramecium bursaria Chlorella virus 1	Paramecium bursaria
S	380598	Paramecium bursaria Chlorella virus AR158	Paramecium bursaria
S	46021	Paramecium bursaria Chlorella virus NY2A	Paramecium bursaria
S	129728	Parapoxvirus of red deer in New Zealand	Parapoxvirus of
S1	1579460	Parapoxvirus red deer/HL953	Parapoxvirus red
D4	1794811	Parcubacteria group	Parcubacteria group
F1	40119	Parvovirinae	Parvovirinae
S	1548720	Passeriform 1 orthobornavirus	Passeriform 1
S	379892	Passiflora latent virus	Passiflora latent
S	31732	Passion fruit woodiness virus	Passion fruit
F2	67757	unclassified Pasteurellaceae (miscellaneous)	Pasteurellaceae (miscellaneous)
D3	1783273	Patescibacteria group	Patescibacteria group
F1	1982878	Pclasvirinae	Pclasvirinae
S	12294	Pea early-browning virus	Pea early-browning
S	35772	Peanut witches'-broom phytoplasma	Peanut witches-broom
S1	1163385	Peanut witches'-broom phytoplasma NTU2011	Peanut witches-broom
S	1429794	Pectobacterium bacteriophage PM2	Pectobacterium bacteriophage
S1	1204539	Pectobacterium phage My1	Pectobacterium phage My1
S1	1873959	Pectobacterium phage PP90	Pectobacterium phage PP90
G1	2509505	Pedacovirus	Pedacovirus
F1	857479	Peduovirinae	Peduovirinae
S	1235479	Pelosinus sp. HCF1	Pelosinus sp. HCF1
S	1529056	Penaeus monodon nudivirus	Penaeus monodon
G1	254878	Penicillium chrysogenum species complex	Penicillium chrysogenum
F2	1411023	unclassified Peptostreptococcaceae (miscellaneous)	Peptostreptococcaceae (miscellaneous)
S	2560642	Perigonia lusca nucleopolyhedrovirus	Perigonia lusca
S1	1675865	Perigonia lusca single nucleopolyhedrovirus	Perigonia lusca
S	356862	Peruvian horse sickness virus	Peruvian horse
P2	147538	Pezizomycotina	Pezizomycotina
S	251749	Phaeocystis globosa virus	Phaeocystis globosa
G1	106179	phagocytophilum group	phagocytophilum group
S	1523858	Phomopsis longicolla hypovirus	Phomopsis longicolla
G1	85635	unclassified phytoplasmas	phytoplasmas
F1	542836	Picovirinae	Picovirinae
F2	2609909	unclassified Picovirinae	Picovirinae
S1	764030	Pigeon adenovirus 1	Pigeon adenovirus
S1	1907767	Pigeon adenovirus 2	Pigeon adenovirus
S	1548417	Pigeon aviadenovirus A	Pigeon aviadenovirus
S	2169708	Pigeon aviadenovirus B	Pigeon aviadenovirus
S	1980429	Pigeonpea sterility mosaic emaravirus 1	Pigeonpea sterility
G1	2509507	Pimfabavirus	Pimfabavirus
S	2033633	Pineapple bacilliform CO virus	Pineapple bacilliform
F1	2508210	Piscanivirinae	Piscanivirinae
S1	2100419	Planarian secretory cell nidovirus	Planarian secretory
S	891974	Plautia stali symbiont	Plautia stali
O1	715340	Pleosporineae	Pleosporineae
C1	451868	Pleosporomycetidae	Pleosporomycetidae
S1	118163	Pleurocapsa sp. PCC 7327	Pleurocapsa sp. PCC 7327
S	262175	Plodia interpunctella granulovirus	Plodia interpunctella
S	12211	Plum pox virus	Plum pox
S	98383	Plutella xylostella granulovirus	Plutella xylostella
P1	2497571	Polyploviricotina	Polyploviricotina
O1	183979	Polyporales incertae sedis	Polyporales 
S	1891741	Pongo abelii polyomavirus 1	Pongo abelii
G1	2676688	unclassified Ponticoccus (in: Proteobacteria)	Ponticoccus (in:
S1	35265	Porcine adenovirus 3	Porcine adenovirus
S	130369	Porcine mastadenovirus A	Porcine mastadenovirus
S1	412969	Porcine pestivirus isolate Bungowannah	Porcine pestivirus
S1	1689785	Porcine pestivirus 1	Porcine pestivirus
S	12045	Potato leafroll virus	Potato leafroll
S	44562	Pothos latent virus	Pothos latent
S	81582	Prevotella aff. ruminicola Tc2-24	Prevotella aff.
S	1287488	Prevotella sp. S7 MS 2	Prevotella sp. S7 MS
S	1511872	Primate bocaparvovirus 2	Primate bocaparvovirus
S	1511902	Primate erythroparvovirus 3	Primate erythroparvovirus
F1	2560077	Procedovirinae	Procedovirinae
S1	1655012	Propionibacterium phage Attacne	Propionibacterium phage Attacne
S1	1897532	Propionibacterium phage B22	Propionibacterium phage B22
S1	1897536	Propionibacterium phage E6	Propionibacterium phage E6
S1	1655014	Propionibacterium phage Kubed	Propionibacterium phage Kubed
S1	1655016	Propionibacterium phage MrAK	Propionibacterium phage MrAK
S1	1229792	Propionibacterium phage P1.1	Propionibacterium phage P1.1
S1	1229786	Propionibacterium phage P101A	Propionibacterium phage P101A
S1	1229787	Propionibacterium phage P104A	Propionibacterium phage P104A
S1	376758	Propionibacterium phage PA6	Propionibacterium phage PA6
S1	1498188	Propionibacterium phage Pacnes 2012-15	Propionibacterium phage Pacnes 2012-15
S1	504501	Propionibacterium phage PAD20	Propionibacterium phage PAD20
S1	504553	Propionibacterium phage PAS50	Propionibacterium phage PAS50
S1	1500801	Propionibacterium phage PHL041M10	Propionibacterium phage PHL041M10
S1	1235647	Propionibacterium phage PHL060L00	Propionibacterium phage PHL060L00
S1	1500813	Propionibacterium phage PHL092M00	Propionibacterium phage PHL092M00
S1	1235655	Propionibacterium phage PHL113M01	Propionibacterium phage PHL113M01
S1	1500816	Propionibacterium phage PHL116M00	Propionibacterium phage PHL116M00
S1	1500820	Propionibacterium phage PHL132N00	Propionibacterium phage PHL132N00
S1	1500821	Propionibacterium phage PHL141N00	Propionibacterium phage PHL141N00
S1	1500825	Propionibacterium phage PHL152M00	Propionibacterium phage PHL152M00
S1	1500830	Propionibacterium phage PHL199M00	Propionibacterium phage PHL199M00
S1	1500831	Propionibacterium phage PHL301M00	Propionibacterium phage PHL301M00
S1	1655019	Propionibacterium phage Procrass1	Propionibacterium phage Procrass1
S1	1655023	Propionibacterium phage Wizzo	Propionibacterium phage Wizzo
P2	81684	unclassified Proteobacteria (miscellaneous)	Proteobacteria (miscellaneous)
S1	1931407	Providencia phage vB_PreS_PR1	Providencia phage vB_PreS_PR1
S1	2022321	Prunus geminivirus A	Prunus geminivirus
S	2560653	Prunus latent virus	Prunus latent
C2	2175150	PS1 clade	PS1 clade
S	1681830	Pseudanabaena sp. 'Roaring Creek'	Pseudanabaena sp. Roaring Creek
G1	111527	pseudomallei group	pseudomallei group
P2	45359	unclassified pseudomonads	pseudomonads
S	43306	Pseudomonas denitrificans (nomen rejiciendum)	Pseudomonas denitrificans
G2	627141	Pseudomonas nitroreducens/multiresinivorans group	Pseudomonas nitroreducens/multiresinivorans
G2	1232139	Pseudomonas oleovorans/pseudoalcaligenes group	Pseudomonas oleovorans/pseudoalcaligenes
G1	136844	Pseudomonas pertucinogena group	Pseudomonas pertucinogena
S1	1873949	Pseudomonas phage Andromeda	Pseudomonas phage Andromeda
S1	386793	Pseudomonas phage LKA1	Pseudomonas phage LKA1
S1	2006684	Pseudomonas phage Noxifer	Pseudomonas phage Noxifer
S1	1844477	Pseudomonas phage NP1	Pseudomonas phage NP1
S1	1175654	Pseudomonas phage PaMx25	Pseudomonas phage PaMx25
S1	1175663	Pseudomonas phage PaMx74	Pseudomonas phage PaMx74
S1	538398	Pseudomonas phage PB1	Pseudomonas phage PB1
S1	1815630	Pseudomonas phage pf16	Pseudomonas phage pf16
S1	1458843	Pseudomonas phage phiPsa374	Pseudomonas phage phiPsa374
S1	1752027	Pseudomonas phage phiR18	Pseudomonas phage phiR18
S1	1772332	Pseudomonas phage SM1	Pseudomonas phage SM1
S1	2048978	Pseudomonas phage tabernarius	Pseudomonas phage tabernarius
S1	1235661	Pseudomonas phage UFV-P2	Pseudomonas phage UFV-P2
S1	1182590	Pseudomonas pseudoalcaligenes CECT 5344	Pseudomonas pseudoalcaligenes
S	1844091	Pseudomonas sp. 1 R 17	Pseudomonas sp. 1 R
S	1844095	Pseudomonas sp. 24 E 13	Pseudomonas sp. 24 E
S	1844094	Pseudomonas sp. 24 E 1	Pseudomonas sp. 24 E
S	1844096	Pseudomonas sp. 24 R 17	Pseudomonas sp. 24 R
S	1844097	Pseudomonas sp. 25 E 4	Pseudomonas sp. 25 E
S	1844109	Pseudomonas sp. 25 R 14	Pseudomonas sp. 25 R
S	1844098	Pseudomonas sp. 28 E 9	Pseudomonas sp. 28 E
S	1844101	Pseudomonas sp. 31 R 17	Pseudomonas sp. 31 R
S	1844102	Pseudomonas sp. 34 E 7	Pseudomonas sp. 34 E
S	1844103	Pseudomonas sp. 35 E 8	Pseudomonas sp. 35 E
S	1844104	Pseudomonas sp. 37 R 15	Pseudomonas sp. 37 R
S	1844105	Pseudomonas sp. 44 R 15	Pseudomonas sp. 44 R
S	1844106	Pseudomonas sp. 52 E 6	Pseudomonas sp. 52 E
S	1844108	Pseudomonas sp. 58 R 3	Pseudomonas sp. 58 R
S	1844107	Pseudomonas sp. 58 R 12	Pseudomonas sp. 58 R
S	1844092	Pseudomonas sp. 8 R 14	Pseudomonas sp. 8 R
S	2545454	Pseudomonas sp. HS-2	Pseudomonas sp. HS-2
S	2340915	Pseudonocardiaceae bacterium YIM PH 21723	Pseudonocardiaceae bacterium YIM PH
S1	1592335	Pseudoplusia includens SNPV IE	Pseudoplusia includens
S	2480818	Pseudoxanthomonas sp. NML180370	Pseudoxanthomonas sp. NML180370
S	50294	Psittacid alphaherpesvirus 1	Psittacid alphaherpesvirus
P1	29000	Pucciniomycotina	Pucciniomycotina
D1	1783257	PVC group	PVC group
S1	1841195	Quezon virus	Quezon virus
F1	1914297	Quinvirinae	Quinvirinae
S	1161132	Rabbit astrovirus TN/2208/2010	Rabbit astrovirus
S	10271	Rabbit fibroma virus	Rabbit fibroma
S1	1980924	Ralstonia phage phiRSL1	Ralstonia phage phiRSL1
S1	1923889	Ralstonia phage RP12	Ralstonia phage RP12
S1	1585840	Ralstonia phage RSL2	Ralstonia phage RSL2
S1	1887314	Ranavirus maximus	Ranavirus maximus
S	389214	Ranid herpesvirus 2	Ranid herpesvirus
S	341110	Ranunculus leaf distortion virus	Ranunculus leaf
S1	79700	Rat cytomegalovirus Maastricht	Rat cytomegalovirus
G1	2509508	Renitovirus	Renitovirus
S1	119756	Rhesus macaque parvovirus	Rhesus macaque
S	2054179	Rhinolophus gammaherpesvirus 1	Rhinolophus gammaherpesvirus
O2	41292	unclassified Rhizobiales (miscellaneous)	Rhizobiales (miscellaneous)
F1	227290	Rhizobium/Agrobacterium group	Rhizobium/Agrobacterium group
O1	1142503	Rhizophydiales incertae sedis	Rhizophydiales 
S1	1662331	Rhodobacter phage RcSpartan	Rhodobacter phage RcSpartan
S1	691965	Rhodococcus phage ReqiPepy6	Rhodococcus phage ReqiPepy6
S1	691964	Rhodococcus phage ReqiPoco6	Rhodococcus phage ReqiPoco6
S1	2027905	Rhodococcus phage Trina	Rhodococcus phage Trina
S1	1897437	Rhodococcus phage Weasels2	Rhodococcus phage Weasels2
S	1873883	Rhodoplanes sp. JGI PP 4-B12	Rhodoplanes sp. JGI PP
O2	941843	unclassified Rhodospirillales (miscellaneous)	Rhodospirillales (miscellaneous)
D1	2559587	Riboviria	Riboviria
D2	2585030	unclassified Riboviria	Riboviria
S	10990	Rice black streaked dwarf virus	Rice black
S	146897	Rice orange leaf phytoplasma	Rice orange
S	1961830	Rickettsia endosymbiont of Culicoides newsteadi	Rickettsia endosymbiont
S	1462733	Rickettsia endosymbiont of Proechinophthirus fluctus	Rickettsia endosymbiont
S	444612	Rickettsia endosymbiont of Ixodes scapularis	Rickettsia endosymbiont
S	1133329	Rickettsia endosymbiont of Ixodes pacificus	Rickettsia endosymbiont
O2	1699067	unclassified Rickettsiales (miscellaneous)	Rickettsiales (miscellaneous)
S	2486578	Rickettsiales endosymbiont of Stachyamoeba lipophora	Rickettsiales endosymbiont
S	2486577	Rickettsiales endosymbiont of Peranema trichophorum	Rickettsiales endosymbiont
O1	255531	Rickettsiales genera incertae sedis	Rickettsiales genera
F1	33988	Rickettsieae	Rickettsieae
S	1972687	Rio Chico almendravirus	Rio Chico
G1	2676603	unclassified Rivularia (in: Bacteria)	Rivularia (in:
D3	1922348	unclassified RNA viruses ShiM-2016	RNA viruses
S1	64315	Rocio virus	Rocio virus
S	1511908	Rodent protoparvovirus 1	Rodent protoparvovirus
G	1920866	Rogunavirus	Rogunavirus
O1	2499402	Ronidovirineae	Ronidovirineae
R	1	root	root
S1	1511807	Rosavirus A2	Rosavirus A2
O1	1508595	Roseiflexineae	Roseiflexineae
S1	1682380	Roseobacter phage RDJL Phi 2	Roseobacter phage RDJL Phi
S	214106	Roseomonas genomospecies 6	Roseomonas genomospecies
S	2501962	Rousettus bat coronavirus GCCDC1	Rousettus bat
S1	1892416	Rousettus bat coronavirus	Rousettus bat
F1	2560080	Rubulavirinae	Rubulavirinae
F2	2305133	unclassified Ruminococcaceae (miscellaneous)	Ruminococcaceae (miscellaneous)
P1	1895827	unclassified Saccharibacteria	Saccharibacteria
P1	716545	saccharomyceta	saccharomyceta
O1	241407	Saccharomycetales incertae sedis	Saccharomycetales 
P2	147537	Saccharomycotina	Saccharomycotina
S	10353	Saimiriine alphaherpesvirus 1	Saimiriine alphaherpesvirus
S	1535247	Saimiriine betaherpesvirus 4	Saimiriine betaherpesvirus
S	10381	Saimiriine gammaherpesvirus 2	Saimiriine gammaherpesvirus
S	64301	Sal Vieja virus	Sal Vieja
S1	120499	Salem virus	Salem virus
S	1680908	Salmon gill poxvirus	Salmon gill
S1	1113547	Salmonella phage 9NA	Salmonella phage 9NA
S1	1173752	Salmonella phage FSL SP-101	Salmonella phage FSL SP-101
S1	1540823	Salmonella phage LSPA1	Salmonella phage LSPA1
S1	2041413	Salmonella phage Melville	Salmonella phage Melville
S1	2115848	Salmonella phage SE1 (in:Nonagvirus)	Salmonella phage SE1 (in:Nonagvirus)
S1	1204528	Salmonella phage SKML-39	Salmonella phage SKML-39
S1	1090134	Salmonella phage SPN3US	Salmonella phage SPN3US
S1	1211279	Salmonella phage vB_SenS_AG11	Salmonella phage vB_SenS_AG11
G1	2508249	Sanematovirus	Sanematovirus
S	1923406	Sanxia water strider virus 7	Sanxia water
S	1608064	Sanxia Water Strider Virus 5	Sanxia Water
S2	290314	Sapovirus C12	Sapovirus C12
S1	515177	Sapovirus GII	Sapovirus GII
C2	62654	SAR116 cluster	SAR116 cluster
C3	909942	unclassified SAR116 cluster	SAR116 cluster
S	909943	SAR116 cluster alpha proteobacterium HIMB100	SAR116 cluster
F2	745004	SAR92 clade	SAR92 clade
G1	2509511	Sarbecovirus	Sarbecovirus
S	693999	Scotophilus bat coronavirus 512	Scotophilus bat
S	1416741	Sea otter poxvirus	Sea otter
S	1199245	secondary endosymbiont of Ctenarytaina eucalypti	secondary endosymbiont
S	1835721	secondary endosymbiont of Trabutina mannipara	secondary endosymbiont
S	134287	secondary endosymbiont of Heteropsylla cubana	secondary endosymbiont
F1	689832	Sedoreovirinae	Sedoreovirinae
F1	2508240	Serpentovirinae	Serpentovirinae
S1	1962671	Serratia phage BF	Serratia phage BF
S1	1262513	Serratia phage phiMAM1	Serratia phage phiMAM1
S1	1852640	Serratia phage vB_Sru_IME250	Serratia phage vB_Sru_IME250
S1	1852640	Serratia phage vB-Sru-IME250	Serratia phage vB-Sru-IME250
S	694009	Severe acute respiratory syndrome-related coronavirus	Severe acute
S	2004968	Sewage derived gemykibivirus 2	Sewage derived
S	1985408	Sewage derived gemycircularvirus 2	Sewage derived
S	1592096	Sewage-associated circular DNA virus-29	Sewage-associated circular
S1	1519407	Sewage-associated gemycircularvirus 2	Sewage-associated gemycircularvirus
S	1923460	Shayang ascaridia galli virus 2	Shayang ascaridia
S1	637730	Shigella phage Ag3	Shigella phage Ag3
S1	1414738	Shigella phage pSb-1	Shigella phage pSb-1
S1	645664	Shigella phage SP18	Shigella phage SP18
S	638660	Short-finned eel ranavirus	Short-finned eel
S	1923477	Shuangao toti-like virus	Shuangao toti-like
O2	2493640	unclassified Silvanigrellales (miscellaneous)	Silvanigrellales (miscellaneous)
S1	995022	Simian adenovirus 49	Simian adenovirus
S	38416	Simian adenovirus 19	Simian adenovirus
S	1165908	Simian adenovirus B	Simian adenovirus
G1	413684	unclassified Simian adenoviruses	Simian adenoviruses
S	11723	Simian immunodeficiency virus	Simian immunodeficiency
S1	12830	Simian immunodeficiency virus - mnd	Simian immunodeficiency virus -
S2	159122	Simian immunodeficiency virus SIV-mnd 2	Simian immunodeficiency virus SIV-mnd
S	1962299	Simian mastadenovirus B	Simian mastadenovirus
S	262968	Singapore grouper iridovirus	Singapore grouper
S1	1647405	Sinorhizobium phage phiN3	Sinorhizobium phage phiN3
F1	227292	Sinorhizobium/Ensifer group	Sinorhizobium/Ensifer group
S	1929246	Sodalis endosymbiont of Henestaris halophilus	Sodalis endosymbiont
S	1918949	Solemya elarraichensis gill symbiont	Solemya elarraichensis
S	642797	Solemya pervernicosa gill symbiont	Solemya pervernicosa
S	1918948	Solemya velesiana gill symbiont	Solemya velesiana
S	2340	Solemya velum gill symbiont	Solemya velum
O1	80812	Sorangiineae	Sorangiineae
O2	215910	unclassified Sorangiineae	Sorangiineae
P4	715989	sordariomyceta	sordariomyceta
C1	222544	Sordariomycetidae	Sordariomycetidae
S	1495316	Soybean cyst nematode virus 5	Soybean cyst
S	1927714	Soybean latent spherical virus	Soybean latent
S	1159906	Sparrow coronavirus HKU17	Sparrow coronavirus
C1	85000	Sphaerobacteridae	Sphaerobacteridae
O1	255728	Sphaerobacterineae	Sphaerobacterineae
O2	203473	unclassified Sphingobacteriales (miscellaneous)	Sphingobacteriales (miscellaneous)
S	415956	Sphingobacterium composti Yoo et al. 2007 non Ten et al. 2007	Sphingobacterium composti
S1	1980139	Sphingobium phage Lacusarx	Sphingobium phage Lacusarx
F2	122612	unclassified Sphingomonadaceae (miscellaneous)	Sphingomonadaceae (miscellaneous)
S	2052949	Sphingomonas aeria Xue et al. 2018 non Park et al. 2015	Sphingomonas aeria
S	1706000	'Sphingomonas ginsengisoli' Hoang et al. 2012	Sphingomonas ginsengisoli
F1	689831	Spinareovirinae	Spinareovirinae
O2	233070	unclassified Spirochaetales (miscellaneous)	Spirochaetales (miscellaneous)
S	2478537	Spiroplasma endosymbiont of Megaselia nigra	Spiroplasma endosymbiont
S	10454	Spodoptera exigua multiple nucleopolyhedrovirus	Spodoptera exigua
S	307454	Spodoptera frugiperda granulovirus	Spodoptera frugiperda
S	10455	Spodoptera frugiperda multiple nucleopolyhedrovirus	Spodoptera frugiperda
S	113370	Spodoptera frugiperda ascovirus 1a	Spodoptera frugiperda
S	10456	Spodoptera littoralis nucleopolyhedrovirus	Spodoptera littoralis
S	46242	Spodoptera litura nucleopolyhedrovirus	Spodoptera litura
S	566270	Spodoptera litura nucleopolyhedrovirus II	Spodoptera litura
S	359919	Spodoptera litura granulovirus	Spodoptera litura
G1	114277	spotted fever group	spotted fever
F1	857473	Spounavirinae	Spounavirinae
F2	857474	unclassified Spounavirinae	Spounavirinae
F1	327046	Spumaretrovirinae	Spumaretrovirinae
S1	1968887	Squirrel adenovirus 1	Squirrel adenovirus
S	2170003	Squirrel mastadenovirus A	Squirrel mastadenovirus
D3	35342	unclassified ssDNA viruses	ssDNA viruses
D4	988644	unclassified ssRNA negative-strand viruses	ssRNA negative-strand
D4	35278	unclassified ssRNA positive-strand viruses	ssRNA positive-strand
D3	439490	unclassified ssRNA viruses	ssRNA viruses
S1	1340769	Staphylococcus phage phiIBB-SEP1	Staphylococcus phage phiIBB-SEP1
S1	1450142	Staphylococcus phage phiSA12	Staphylococcus phage phiSA12
S	1739501	Staphylococcus sp. HMSC057C08	Staphylococcus sp. HMSC057C08
S	1739506	Staphylococcus sp. HMSC078B01	Staphylococcus sp. HMSC078B01
P1	2290931	Stenosarchaea group	Stenosarchaea group
S1	2044561	Stenotrophomonas phage vB_SmaS_DLP_5	Stenotrophomonas phage vB_SmaS_DLP_5
S1	359335	Strawberry lethal yellows phytoplasma (CPA)	Strawberry lethal
S2	980422	Strawberry lethal yellows phytoplasma (CPA) str. NZSb11	Strawberry lethal
S	227507	Strawberry pallidosis-associated virus	Strawberry pallidosis-associated
S1	10747	Streptococcus phage Cp-1	Streptococcus phage Cp-1
S1	10748	Streptococcus phage CP-7	Streptococcus phage CP-7
S1	10747	Streptococcus phage Cp1	Streptococcus phage Cp1
S	1915004	Streptococcus sp. 'caviae'	Streptococcus sp. caviae
S	1319	Streptococcus sp. 'group B'	Streptococcus sp. group B
G2	1482601	Streptomyces microflavus subgroup	Streptomyces microflavus
S1	2079427	Streptomyces phage Bing	Streptomyces phage Bing
S1	2024284	Streptomyces phage DrGrey	Streptomyces phage DrGrey
S1	1556290	Streptomyces phage Jay2Jay	Streptomyces phage Jay2Jay
S1	2023959	Streptomyces phage Mildred21	Streptomyces phage Mildred21
S1	2023993	Streptomyces phage Paradiddles	Streptomyces phage Paradiddles
S1	1211278	Streptomyces phage phiELB20	Streptomyces phage phiELB20
S1	2023995	Streptomyces phage Samisti12	Streptomyces phage Samisti12
S1	2041354	Streptomyces phage Scap1	Streptomyces phage Scap1
S1	1327759	Streptomyces phage Sujidade	Streptomyces phage Sujidade
S	2202249	Streptosporangium sp. 'caverna'	Streptosporangium sp. caverna
S	1563660	Sucra jujuba nucleopolyhedrovirus	Sucra jujuba
S	10345	Suid alphaherpesvirus 1	Suid alphaherpesvirus
S	1608255	Suid betaherpesvirus 2	Suid betaherpesvirus
S	1525218	Sulfitobacter sp. CB2047	Sulfitobacter sp. CB2047
S	1732180	Sulfolobales Virus YNP2	Sulfolobales Virus
S	1732178	Sulfolobus monocaudavirus SMV4	Sulfolobus monocaudavirus
C2	32036	sulfur-oxidizing symbionts	sulfur-oxidizing symbionts
S1	1604875	Sumatran orang-utan polyomavirus	Sumatran orang-utan
S	715480	Sunflower mild mosaic virus	Sunflower mild
S	1513528	Sweet potato mosaic virus	Sweet potato
S	41459	Sweet potato mild mottle virus	Sweet potato
S	321332	Synechococcus sp. JA-2-3B'a(2-13)	Synechococcus sp. JA-2-3Ba(2-13)
D1	1783275	TACK group	TACK group
S	1588049	Tadarida brasiliensis polyomavirus 2	Tadarida brasiliensis
S	1414644	Tall oatgrass mosaic virus	Tall oatgrass
S1	1338506	Talpa europaea papillomavirus 1	Talpa europaea
P1	451866	Taphrinomycotina	Taphrinomycotina
P2	452562	Taphrinomycotina incertae sedis	Taphrinomycotina 
S1	1623310	Tataguine virus	Tataguine virus
D1	1783272	Terrabacteria group	Terrabacteria group
D2	1859062	unclassified Terrabacteria group	Terrabacteria group
S	1561226	Testudinid herpesvirus 3	Testudinid herpesvirus
F1	1198136	Tevenvirinae	Tevenvirinae
F2	1892568	unclassified Tevenvirinae	Tevenvirinae
P2	1104572	unclassified Thaumarchaeota (miscellaneous)	Thaumarchaeota (miscellaneous)
F	543371	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterales Family
F	543372	Thermoanaerobacterales Family IV. Incertae Sedis	Thermoanaerobacterales Family
O2	1919231	unclassified Thermoplasmatales (miscellaneous)	Thermoplasmatales (miscellaneous)
G1	2676525	unclassified Thermosipho (in: Bacteria)	Thermosipho (in:
O2	939858	unclassified Thiotrichales (miscellaneous)	Thiotrichales (miscellaneous)
S	343240	thiotrophic endosymbiont of Bathymodiolus puteoserpentis (Logatchev)	thiotrophic endosymbiont
G1	2509515	Tipravirus	Tipravirus
C2	1737408	unclassified Tissierellia (miscellaneous)	Tissierellia (miscellaneous)
S	12227	Tobacco etch virus	Tobacco etch
