#Classification	SRR061192.report.rspm.kraken	SRR061294.report.rspm.kraken	SRR061320.report.rspm.kraken	SRR061365.report.rspm.kraken	SRR061562.report.rspm.kraken	SRR062083.report.rspm.kraken	SRR062298.report.rspm.kraken	SRR062299.report.rspm.kraken	SRR063517.report.rspm.kraken	SRR1804664.report.rspm.kraken	SRR1804823.report.rspm.kraken	SRR512767.report.rspm.kraken	SRR513165.report.rspm.kraken	SRR513768.report.rspm.kraken	SRR513775.report.rspm.kraken	SRR513828.report.rspm.kraken	SRR514202.report.rspm.kraken	SRR514239.report.rspm.kraken	SRR514306.report.rspm.kraken	SRR514329.report.rspm.kraken
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Adhaeribacter|s__Adhaeribacter_sp._HMF7616	20	0	0	2	3	7	1	1	1	7	0	5	0	7	1	0	2	1	4	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter	40	26	42	36	63	37	34	16	12	43	5	29	32	32	69	61	1	24	12	23
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter|s__Pontibacter_sp._BAB1700	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter|s__Pontibacter_indicus	0	0	0	0	0	0	1	0	0	9	0	0	2	1	0	0	0	1	1	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter|s__Pontibacter_sp._KIRAN	0	0	0	0	7	3	1	0	0	1	1	2	0	0	0	0	0	4	0	4
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter|s__Pontibacter_lucknowensis	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter|s__Pontibacter_sp._S10-8	0	0	0	1	3	2	1	0	0	6	0	0	0	0	5	14	0	0	1	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter|s__Pontibacter_roseus	0	0	1	9	16	0	2	1	2	2	1	2	8	0	3	10	0	1	2	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter|s__Pontibacter_korlensis	0	1	17	0	1	0	0	2	0	0	0	2	0	0	14	19	0	0	0	6
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter|s__Pontibacter_sp._2b14	0	1	7	3	0	0	3	0	1	7	0	1	0	0	1	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter|s__Pontibacter_actiniarum	1	0	1	1	10	0	3	2	0	9	1	0	10	6	0	0	0	2	0	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter|s__Pontibacter_ummariensis	1	0	0	0	2	0	5	0	0	2	0	1	0	0	2	1	0	1	0	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter|s__Pontibacter_mucosus	1	0	2	1	5	3	0	0	1	0	0	5	0	2	5	2	0	1	0	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter|s__Pontibacter_virosus	1	1	0	2	1	3	1	1	0	0	0	0	0	0	1	3	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter|s__Pontibacter_akesuensis	3	0	0	0	1	1	1	1	2	0	0	11	5	0	0	6	0	0	1	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter|s__Pontibacter_diazotrophicus	4	16	7	1	6	1	7	1	0	3	0	3	2	6	7	0	1	3	2	4
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter|s__Pontibacter_ramchanderi	12	6	1	13	1	4	0	0	0	0	1	0	1	0	18	0	0	6	0	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter|s__Pontibacter_chinhatensis	16	1	4	1	3	12	4	1	6	4	0	0	4	14	1	3	0	2	1	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter	100	79	103	142	105	169	119	26	92	86	48	319	55	149	133	104	16	101	222	114
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_sp._YR204	0	0	0	0	0	0	0	1	0	1	17	1	0	1	0	9	0	8	3	4
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_mucosus	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	1	0	6	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_gelipurpurascens	0	0	0	5	3	0	2	3	1	1	0	2	0	2	8	3	0	4	1	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_sp._AT01-02	0	0	0	1	1	10	4	0	1	0	0	0	0	0	0	0	1	0	0	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_sp._DG25B	0	0	0	3	1	0	0	0	2	1	1	0	0	4	0	2	0	0	25	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_sp._APR13	0	0	1	2	2	3	1	0	3	0	1	1	0	0	5	0	0	0	0	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_sp._DG25A	0	0	1	1	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_psychrotolerans	0	1	1	0	3	1	1	0	3	3	13	1	1	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_swuensis	0	1	0	0	1	0	0	1	0	1	0	2	0	1	26	1	0	0	0	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_jeollabukensis	0	1	0	4	1	2	0	3	1	4	0	0	0	0	1	1	0	0	1	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_chitinivorans	0	2	4	1	0	2	1	0	1	5	0	1	0	1	1	0	0	0	1	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_coccineus	0	2	3	2	4	3	0	0	1	0	2	3	0	0	0	3	1	1	0	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_norwichensis	0	8	14	0	0	2	1	0	0	0	0	1	1	0	1	0	0	3	0	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_sp._PAMC_26554	0	1	3	1	0	2	1	3	1	3	0	21	0	0	1	1	1	7	1	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_sp._17J68-5	0	1	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_sp._92R-1	0	1	0	1	2	0	0	0	0	2	0	2	0	0	0	0	0	12	8	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_sp._CCM_8763	0	2	0	4	2	1	2	0	0	1	1	0	2	2	0	0	0	2	3	4
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_sp._17J36-26	0	8	1	0	2	0	0	0	1	0	0	1	0	0	8	0	0	1	1	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_roseosalivarius	1	0	0	0	8	2	0	0	1	0	0	4	0	1	0	12	0	1	0	25
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_aerophilus	1	0	2	2	1	0	1	0	1	0	0	1	0	1	1	0	0	1	0	3
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_daecheongensis	1	1	1	1	3	4	0	0	0	0	0	0	1	1	1	1	0	5	1	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_psychrophilus	1	0	1	7	3	0	1	2	1	1	0	0	1	35	2	0	0	0	11	4
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_perfusus	1	1	1	3	1	1	0	1	1	0	1	0	0	0	2	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_sedentarius	1	0	0	3	3	3	0	0	1	1	1	1	2	29	1	4	0	0	12	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_aquaticus	1	0	4	0	1	3	3	0	2	4	1	0	1	0	12	0	0	0	16	3
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_glacialis	1	0	0	0	1	5	1	0	0	2	0	1	0	0	1	0	1	2	4	3
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_amundsenii	1	1	0	1	2	0	2	0	2	3	0	3	1	0	5	1	1	0	4	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_wooponensis	2	11	0	20	1	3	19	0	1	1	0	0	0	1	0	0	0	1	0	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_lapidarius	2	0	4	3	0	1	0	1	0	0	0	3	0	0	0	0	0	1	0	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_actinosclerus	2	0	3	4	11	1	8	2	3	2	0	0	5	0	9	0	0	6	0	4
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_terrenus	3	3	3	3	5	6	6	2	3	16	1	15	5	10	4	1	5	5	10	3
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_rubripertinctus	3	0	0	1	0	1	0	0	3	2	0	0	0	0	0	0	1	0	0	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_rigui	4	5	2	1	0	0	0	0	1	3	1	5	1	2	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_gummosus	4	9	2	16	5	13	5	0	32	4	1	202	0	8	0	7	1	4	6	12
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_nivis	7	5	5	9	2	17	5	0	3	4	0	22	0	10	3	1	0	8	5	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_elongatus	8	1	1	0	0	2	3	0	1	0	0	1	1	0	0	20	0	0	1	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_sp._MIMBbqt21	1	4	2	0	0	4	1	1	0	2	0	0	0	2	1	11	0	2	4	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_sp._sh-6	1	0	1	4	1	7	0	1	0	3	0	0	8	4	5	1	0	2	0	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_sp._9PBR-2	1	1	0	0	2	2	0	0	1	0	3	0	0	6	0	0	0	5	38	6
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_sp._1-3-3-3	2	1	21	6	5	35	36	0	0	1	0	3	0	1	2	1	0	2	7	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_sp._ELS1360	2	0	4	4	0	0	1	0	1	2	0	0	0	0	6	5	1	0	0	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_sp._PAMC_26628	3	0	0	3	0	1	0	0	1	1	0	1	2	1	0	4	0	0	13	5
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_sp._UV11	5	1	2	2	5	3	1	0	2	2	2	10	6	0	1	0	0	2	0	3
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_sp._CRA2	5	0	3	7	8	12	0	1	2	1	0	3	0	6	0	1	1	0	6	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_sp._NL	5	0	0	1	2	4	3	0	3	3	0	1	2	0	1	1	0	8	1	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter_sp._IS2118	12	0	3	1	3	3	1	0	0	0	0	0	2	2	4	0	0	0	1	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae	254	109	185	155	253	169	162	43	184	121	109	368	177	72	199	530	78	170	406	139
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|s__Cyclobacteriaceae_bacterium_YHN15	0	0	0	0	0	2	5	0	2	0	0	2	12	10	1	0	0	0	16	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Nitritalea	0	1	6	3	0	4	0	0	0	1	3	13	2	0	2	8	9	0	3	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Nitritalea|s__Nitritalea_halalkaliphila	0	1	6	3	0	4	0	0	0	1	3	13	2	0	2	8	9	0	3	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Lunatimonas	0	1	0	1	1	2	1	0	0	0	1	1	1	1	0	1	0	0	4	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Lunatimonas|s__Lunatimonas_lonarensis	0	1	0	1	1	2	1	0	0	0	1	1	1	1	0	1	0	0	4	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Indibacter	0	3	3	0	13	2	5	2	0	0	0	12	10	4	3	5	0	5	46	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Indibacter|s__Indibacter_alkaliphilus	0	3	3	0	13	2	5	2	0	0	0	12	10	4	3	5	0	5	46	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Negadavirga	1	0	4	6	11	2	2	0	1	2	1	10	0	0	3	0	0	6	2	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Negadavirga|s__Negadavirga_sp._SW125	1	0	4	6	11	2	2	0	1	2	1	10	0	0	3	0	0	6	2	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Belliella	2	2	3	1	3	2	6	4	0	3	2	5	1	2	0	33	0	2	1	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Belliella|s__Belliella_baltica	0	0	0	0	1	0	1	0	0	2	1	0	1	0	0	32	0	2	0	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Belliella|s__Belliella_pelovolcani	1	1	0	1	0	0	1	4	0	0	1	0	0	2	0	1	0	0	1	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Belliella|s__Belliella_buryatensis	1	1	3	0	2	2	4	0	0	1	0	5	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Mariniradius	3	0	0	0	2	4	1	0	1	3	0	0	0	0	6	6	0	1	11	3
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Mariniradius|s__Mariniradius_saccharolyticus	3	0	0	0	2	4	1	0	1	3	0	0	0	0	6	6	0	1	11	3
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Aquiflexum	3	0	11	6	0	7	6	0	0	1	2	2	7	1	3	0	1	4	1	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Aquiflexum|s__Aquiflexum_sp._Z0201	0	0	0	2	0	2	2	0	0	0	2	2	1	0	2	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Aquiflexum|s__Aquiflexum_balticum	3	0	11	4	0	5	4	0	0	1	0	0	6	1	1	0	1	4	1	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Mongoliibacter	6	4	0	24	9	13	1	0	25	4	8	43	2	9	25	2	0	9	16	7
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Mongoliibacter|s__Mongoliibacter_ruber	6	4	0	24	9	13	1	0	25	4	8	43	2	9	25	2	0	9	16	7
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Echinicola	17	1	6	8	20	5	5	3	2	2	10	22	14	4	11	4	17	16	18	5
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Echinicola|s__Echinicola_strongylocentroti	0	0	0	1	0	0	2	1	0	0	0	0	5	0	2	0	16	0	0	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Echinicola|s__Echinicola_vietnamensis	0	1	0	2	1	0	1	0	0	1	0	1	2	0	0	1	0	1	0	3
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Echinicola|s__Echinicola_pacifica	1	0	6	0	0	0	1	1	0	1	0	0	0	3	0	0	1	2	2	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Echinicola|s__Echinicola_rosea	14	0	0	5	17	5	1	1	2	0	10	21	7	1	8	3	0	13	16	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Cecembia	24	10	10	22	34	26	45	2	8	21	1	4	17	26	12	41	19	31	170	33
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Cecembia|s__Cecembia_lonarensis	1	1	0	20	0	0	1	0	4	0	0	0	0	1	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Cecembia|s__Cecembia_rubra	4	0	5	0	1	5	6	0	1	3	0	0	10	0	0	14	0	0	2	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Cecembia|s__Cecembia_calidifontis	19	9	5	2	32	21	38	2	3	18	1	4	7	25	12	27	19	31	168	32
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Cyclobacterium	71	58	54	9	25	29	28	6	79	16	30	226	8	0	16	14	8	32	29	9
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Cyclobacterium|s__Cyclobacterium_marinum	0	0	1	0	2	1	5	0	0	3	1	9	1	0	3	6	1	0	7	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Cyclobacterium|s__Cyclobacterium_amurskyense	0	1	12	2	1	16	2	0	0	0	0	0	3	0	1	0	0	1	1	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Cyclobacterium|s__Cyclobacterium_halophilum	1	3	2	5	15	6	8	3	6	13	15	10	2	0	12	3	2	6	21	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Cyclobacterium|s__Cyclobacterium_lianum	5	1	2	0	4	0	2	3	0	0	0	0	1	0	0	0	0	0	0	6
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Cyclobacterium|s__Cyclobacterium_qasimii	65	53	37	2	0	6	9	0	73	0	14	207	1	0	0	5	5	25	0	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus	127	29	88	75	124	71	56	24	66	68	51	28	102	15	116	416	24	64	89	75
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus|s__Algoriphagus_sp._A40	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	10	0	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus|s__Algoriphagus_sp._ARW1R1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus|s__Algoriphagus_marincola	0	0	1	0	0	0	1	2	0	1	0	1	0	0	0	1	1	3	0	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus|s__Algoriphagus_ornithinivorans	0	0	2	0	10	3	1	1	1	1	0	0	3	0	0	3	0	8	2	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus|s__Algoriphagus_chordae	0	0	2	0	1	3	1	0	3	0	0	0	4	2	0	4	0	4	0	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus|s__Algoriphagus_sp._XY-J91	0	0	1	0	0	1	3	1	0	1	2	0	0	0	2	1	0	0	1	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus|s__Algoriphagus_sp._DSL-12	0	1	1	4	0	0	4	0	1	0	0	0	1	1	17	5	0	3	0	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus|s__Algoriphagus_resistens	0	2	1	1	0	0	5	0	0	5	1	1	2	0	7	0	2	0	0	6
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus|s__Algoriphagus_yeomjeoni	0	3	0	0	2	1	0	1	0	0	2	1	0	0	3	6	0	0	0	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus|s__Algoriphagus_mannitolivorans	0	3	0	0	0	0	1	0	0	0	0	3	0	0	1	11	0	0	0	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus|s__Algoriphagus_alkaliphilus	1	0	14	1	23	10	2	5	1	3	7	0	0	1	5	4	0	0	2	8
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus|s__Algoriphagus_terrigena	1	7	0	2	2	1	0	0	29	7	0	1	6	2	15	1	0	1	6	4
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus|s__Algoriphagus_faecimaris	1	0	4	0	0	1	0	1	1	1	0	0	0	0	0	5	0	0	0	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus|s__Algoriphagus_locisalis	2	0	1	0	8	5	4	2	1	14	1	0	8	0	8	1	0	2	15	3
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus|s__Algoriphagus_boritolerans	2	0	5	0	1	5	9	1	0	0	0	0	0	0	3	0	1	1	0	0
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus|s__Algoriphagus_boseongensis	2	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus|s__Algoriphagus_marinus	2	0	0	0	2	0	0	0	1	0	0	0	1	0	2	0	0	1	4	2
