#Classification	SRR061192.report.rs.kraken	SRR061294.report.rs.kraken	SRR061320.report.rs.kraken	SRR061365.report.rs.kraken	SRR061562.report.rs.kraken	SRR062083.report.rs.kraken	SRR062298.report.rs.kraken	SRR062299.report.rs.kraken	SRR063517.report.rs.kraken	SRR1804664.report.rs.kraken	SRR1804823.report.rs.kraken	SRR512767.report.rs.kraken	SRR513165.report.rs.kraken	SRR513768.report.rs.kraken	SRR513775.report.rs.kraken	SRR513828.report.rs.kraken	SRR514202.report.rs.kraken	SRR514239.report.rs.kraken	SRR514306.report.rs.kraken	SRR514329.report.rs.kraken
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium|s__Chlorobium_ferrooxidans	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium|s__Chlorobium_phaeobacteroides	1	3	5	0	5	2	3	1	0	0	5	3	3	0	0	2	0	0	0	0
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium|s__Chlorobium_sp._KB01	2	1	1	0	1	0	3	2	0	7	1	0	0	3	0	2	0	2	5	1
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium|s__Chlorobium_limicola	3	0	1	2	0	1	0	0	1	2	0	10	7	0	1	7	0	0	0	0
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium|s__Chlorobium_phaeovibrioides	3	0	7	2	19	0	1	3	1	0	0	0	17	1	0	5	0	2	0	5
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium|s__Chlorobium_sp._N1	3	0	1	0	2	3	6	1	0	2	1	4	3	0	6	1	0	4	4	6
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium|s__Chlorobium_chlorochromatii	14	0	0	0	0	0	2	1	0	4	0	1	1	0	7	3	0	1	6	4
k__Bacteria|p__Bacteroidetes	1848067	959528	1512135	336070	3476600	1063499	1870943	1003605	396492	1156483	518538	1451725	1983787	1431846	2210925	2886141	380765	1905053	4897163	1358192
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis	18	36	52	105	55	86	52	16	47	73	13	73	46	194	93	60	6	46	167	58
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis|f__Rhodothermaceae	18	36	52	105	55	86	52	16	47	73	13	73	46	194	93	60	6	46	167	58
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis|f__Rhodothermaceae|g__Longibacter	0	0	5	0	0	5	12	2	0	7	1	1	0	1	13	19	0	2	2	0
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis|f__Rhodothermaceae|g__Longibacter|s__Longibacter_salinarum	0	0	5	0	0	5	12	2	0	7	1	1	0	1	13	19	0	2	2	0
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis|f__Rhodothermaceae|g__Longimonas	0	1	1	7	0	0	1	0	0	10	0	0	1	6	3	2	0	0	5	0
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis|f__Rhodothermaceae|g__Longimonas|s__Longimonas_halophila	0	1	1	7	0	0	1	0	0	10	0	0	1	6	3	2	0	0	5	0
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis|f__Rhodothermaceae|s__Rhodothermaceae_bacterium_RA	0	1	4	39	5	0	2	0	1	2	0	1	1	0	6	1	0	3	1	3
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis|f__Rhodothermaceae|g__Rhodothermus	1	13	5	24	9	29	17	2	6	2	0	5	2	98	17	13	2	6	39	17
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis|f__Rhodothermaceae|g__Rhodothermus|s__Rhodothermus_profundi	0	12	1	2	3	1	5	1	2	2	0	3	0	0	0	3	1	4	0	3
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis|f__Rhodothermaceae|g__Rhodothermus|s__Rhodothermus_marinus	1	1	4	22	6	28	12	1	4	0	0	2	2	98	17	9	1	2	39	14
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis|f__Rhodothermaceae|g__Salisaeta	5	1	17	21	11	6	2	1	22	26	5	9	6	87	15	16	3	17	89	23
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis|f__Rhodothermaceae|g__Salisaeta|s__Salisaeta_longa	5	1	17	21	11	6	2	1	22	26	5	9	6	87	15	16	3	17	89	23
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis|f__Rhodothermaceae|s__Rhodothermaceae_bacterium	1	7	2	2	0	3	3	4	0	0	0	1	5	0	8	0	1	1	1	5
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis|f__Rhodothermaceae|g__Salinibacter	6	4	8	11	16	14	11	6	18	23	5	36	27	1	18	9	0	6	20	8
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis|f__Rhodothermaceae|g__Salinibacter|s__Salinibacter_altiplanensis	1	1	0	1	1	4	1	0	4	7	0	15	1	0	4	2	0	2	0	7
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis|f__Rhodothermaceae|g__Salinibacter|s__Salinibacter_sp._10B	2	0	1	3	11	1	5	0	8	8	0	2	1	0	5	1	0	1	0	0
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis|f__Rhodothermaceae|g__Salinibacter|s__Salinibacter_ruber	3	2	5	7	3	8	4	5	6	8	5	19	22	1	7	6	0	0	19	1
k__Bacteria|p__Bacteroidetes|c__Saprospiria	105	49	139	61	264	79	117	27	92	233	30	62	75	80	279	173	22	73	298	100
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales	105	49	139	61	264	79	117	27	92	233	30	62	75	80	279	173	22	73	298	100
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Saprospiraceae	13	4	4	4	13	10	6	2	47	29	2	0	13	7	134	91	11	5	68	11
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Saprospiraceae|g__Aureispira	2	2	2	0	4	4	1	1	1	6	1	0	0	2	132	1	0	0	8	1
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Saprospiraceae|g__Aureispira|s__Aureispira_sp._CCB-QB1	2	2	2	0	4	4	1	1	1	6	1	0	0	2	132	1	0	0	8	1
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Saprospiraceae|g__Saprospira	11	2	2	4	9	6	5	1	46	23	1	0	13	5	2	90	11	5	60	10
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Saprospiraceae|g__Saprospira|s__Saprospira_grandis	11	2	2	4	9	6	5	1	46	23	1	0	13	5	2	90	11	5	60	10
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Haliscomenobacteraceae	21	9	30	14	80	22	20	7	18	30	15	27	23	15	11	16	2	26	82	16
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Haliscomenobacteraceae|g__Haliscomenobacter	5	3	20	1	51	3	5	1	3	4	3	0	4	12	0	1	0	6	26	10
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Haliscomenobacteraceae|g__Haliscomenobacter|s__Haliscomenobacter_hydrossis	5	3	20	1	51	3	5	1	3	4	3	0	4	12	0	1	0	6	26	10
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Haliscomenobacteraceae|g__Phaeodactylibacter	16	6	10	13	29	19	15	6	15	26	12	27	19	3	11	15	2	20	56	6
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Haliscomenobacteraceae|g__Phaeodactylibacter|s__Phaeodactylibacter_xiamenensis	5	5	3	12	5	6	5	5	13	6	10	2	6	2	0	10	2	0	13	5
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Haliscomenobacteraceae|g__Phaeodactylibacter|s__Phaeodactylibacter_luteus	11	1	7	1	24	13	10	1	2	20	1	24	13	1	11	5	0	20	43	1
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Lewinellaceae	71	36	105	43	171	47	91	18	27	174	13	35	39	58	134	66	9	42	148	73
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Lewinellaceae|s__Lewinellaceae_bacterium_SD302	8	1	26	1	7	0	13	1	0	14	0	18	6	9	22	16	0	6	20	34
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Lewinellaceae|g__Lewinella	62	35	79	42	164	46	78	17	27	160	13	17	33	49	112	50	9	36	128	39
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Lewinellaceae|g__Lewinella|s__Lewinella_sp._4G2	0	1	6	4	17	3	3	0	0	2	2	1	0	0	1	5	0	7	10	0
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Lewinellaceae|g__Lewinella|s__Lewinella_cohaerens	1	10	4	0	6	0	5	0	0	106	0	0	2	0	2	1	0	2	0	2
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Lewinellaceae|g__Lewinella|s__Lewinella_persica	1	4	16	4	1	3	10	0	16	1	8	2	1	0	6	2	1	0	2	0
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Lewinellaceae|g__Lewinella|s__Lewinella_marina	3	5	14	3	4	9	9	2	2	3	0	0	6	24	6	3	1	2	28	3
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Lewinellaceae|g__Lewinella|s__Lewinella_agarilytica	3	0	1	4	0	1	2	0	1	0	0	0	0	3	0	3	0	3	0	1
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Lewinellaceae|g__Lewinella|s__Lewinella_xylanilytica	14	0	1	8	9	1	8	2	0	32	0	4	5	1	10	10	0	0	24	2
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Lewinellaceae|g__Lewinella|s__Lewinella_sp._IMCC34191	4	3	3	1	84	13	1	7	0	7	0	0	5	6	4	7	1	8	17	19
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Lewinellaceae|g__Lewinella|s__Lewinella_sp._IMCC34183	11	5	7	9	7	14	14	6	6	4	2	3	3	3	22	16	0	7	2	9
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Lewinellaceae|g__Lewinella|s__Lewinella_nigricans	25	1	27	8	31	2	17	0	2	4	1	7	6	12	57	3	6	7	38	3
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	535	342	590	370	824	690	541	190	286	595	294	834	496	939	643	893	122	526	1020	614
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	535	342	590	370	824	690	541	190	286	595	294	834	496	939	643	893	122	526	1020	614
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae	535	342	590	370	824	690	541	190	286	595	294	834	496	939	643	893	122	526	1020	614
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Thermoflavifilum	0	0	0	0	1	1	1	0	0	0	1	2	0	0	0	0	0	3	0	1
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Thermoflavifilum|s__Thermoflavifilum_aggregans	0	0	0	0	1	1	1	0	0	0	1	2	0	0	0	0	0	3	0	1
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Vibrionimonas	0	0	0	1	1	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Vibrionimonas|s__Vibrionimonas_magnilacihabitans	0	0	0	1	1	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|s__Chitinophagaceae_bacterium_PMP191F	0	0	0	4	37	10	3	24	4	19	4	9	16	0	6	0	0	12	0	2
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Asinibacterium	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Asinibacterium|s__Asinibacterium_sp._OR53	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Panacibacter	0	1	0	1	8	1	0	0	5	5	4	0	1	4	1	10	0	5	2	1
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Panacibacter|s__Panacibacter_ginsenosidivorans	0	1	0	1	8	1	0	0	5	5	4	0	1	4	1	10	0	5	2	1
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Hydrotalea	0	3	5	7	19	14	8	2	0	2	2	0	4	0	2	9	1	4	7	1
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Hydrotalea|s__Hydrotalea_flava	0	1	4	6	2	6	3	0	0	2	2	0	1	0	0	0	1	4	0	0
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Hydrotalea|s__Hydrotalea_sandarakina	0	2	1	1	17	8	5	2	0	0	0	0	3	0	2	9	0	0	7	1
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Hydrobacter	0	8	0	1	0	1	5	0	0	0	0	0	1	0	9	0	0	2	0	3
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Hydrobacter|s__Hydrobacter_penzbergensis	0	8	0	1	0	1	5	0	0	0	0	0	1	0	9	0	0	2	0	3
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Pseudobacter	1	3	17	1	2	9	19	0	1	1	1	0	0	11	0	1	0	1	15	28
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Pseudobacter|s__Pseudobacter_ginsenosidimutans	1	3	17	1	2	9	19	0	1	1	1	0	0	11	0	1	0	1	15	28
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Flavisolibacter	1	11	20	9	28	20	8	7	2	31	2	24	1	1	6	7	2	7	44	9
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Flavisolibacter|s__Flavisolibacter_ginsengisoli	0	0	7	1	2	4	0	0	1	0	0	0	0	0	2	2	0	0	0	4
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Flavisolibacter|s__Flavisolibacter_sp._17J28-1	0	0	8	4	0	0	0	0	0	7	0	20	0	1	0	1	0	0	6	1
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Flavisolibacter|s__Flavisolibacter_ginsenosidimutans	0	1	2	1	0	0	4	2	0	1	0	1	1	0	2	0	0	0	16	1
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Flavisolibacter|s__Flavisolibacter_tropicus	0	8	2	3	21	16	3	0	0	19	1	3	0	0	0	2	0	3	19	3
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Flavisolibacter|s__Flavisolibacter_sp._X7X	1	2	1	0	5	0	1	5	1	4	1	0	0	0	2	2	2	4	3	0
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Dinghuibacter	2	2	1	1	1	2	7	0	2	1	4	0	1	33	37	1	0	2	1	0
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Dinghuibacter|s__Dinghuibacter_silviterrae	2	2	1	1	1	2	7	0	2	1	4	0	1	33	37	1	0	2	1	0
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Crenotalea	3	0	1	0	3	0	4	0	0	3	0	0	3	0	0	0	2	2	0	1
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Crenotalea|s__Crenotalea_thermophila	3	0	1	0	3	0	4	0	0	3	0	0	3	0	0	0	2	2	0	1
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Deminuibacter	3	1	0	0	1	1	3	4	2	1	1	4	1	1	2	8	13	5	3	1
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Deminuibacter|s__Deminuibacter_soli	3	1	0	0	1	1	3	4	2	1	1	4	1	1	2	8	13	5	3	1
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Sediminibacterium	3	16	7	3	21	116	13	0	2	16	3	4	1	0	5	3	0	13	1	9
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Sediminibacterium|s__Sediminibacterium_salmoneum	0	1	0	0	2	1	1	0	0	2	0	1	0	0	0	0	0	0	1	1
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Sediminibacterium|s__Sediminibacterium_ginsengisoli	0	5	6	0	12	0	5	0	0	1	1	3	0	0	0	0	0	1	0	0
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Sediminibacterium|s__Sediminibacterium_sp._C3	1	2	0	2	7	0	2	0	2	7	0	0	0	0	0	0	0	12	0	6
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Sediminibacterium|s__Sediminibacterium_goheungense	2	8	1	1	0	115	5	0	0	6	2	0	1	0	5	3	0	0	0	2
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Lacibacter	4	30	16	5	1	1	4	2	2	10	0	82	9	1	8	41	0	12	7	1
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Lacibacter|s__Lacibacter_cauensis	1	5	9	4	0	1	0	1	2	10	0	81	3	0	8	2	0	11	7	1
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Lacibacter|s__Lacibacter_sp._TTM-7	3	25	7	0	1	0	3	1	0	0	0	1	6	1	0	39	0	1	0	0
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Flavipsychrobacter	4	0	3	1	0	0	1	0	5	3	1	0	1	0	1	0	1	2	0	1
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Flavipsychrobacter|s__Flavipsychrobacter_stenotrophus	4	0	3	1	0	0	1	0	5	3	1	0	1	0	1	0	1	2	0	1
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Parafilimonas	6	1	0	1	12	2	8	2	15	2	0	0	0	6	4	4	4	1	39	12
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Parafilimonas|s__Parafilimonas_terrae	6	1	0	1	12	2	8	2	15	2	0	0	0	6	4	4	4	1	39	12
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Paracnuella	6	8	0	4	2	6	4	2	12	12	0	23	8	13	6	1	0	18	1	0
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Paracnuella|s__Paracnuella_aquatica	6	8	0	4	2	6	4	2	12	12	0	23	8	13	6	1	0	18	1	0
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Terrimonas	6	14	14	2	1	1	13	0	5	1	0	10	15	0	6	18	1	3	7	5
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Terrimonas|s__Terrimonas_ferruginea	1	7	5	2	0	1	0	0	0	0	0	10	0	0	2	15	0	0	7	1
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Terrimonas|s__Terrimonas_sp._NS-102	5	7	9	0	1	0	13	0	5	1	0	0	15	0	4	3	1	3	0	4
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Segetibacter	6	8	11	1	8	14	6	3	11	18	81	31	23	7	16	67	0	10	17	3
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Segetibacter|s__Segetibacter_koreensis	0	0	5	0	1	0	1	1	1	0	77	0	18	4	0	14	0	4	11	0
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Segetibacter|s__Segetibacter_aerophilus	6	8	6	1	7	14	5	2	10	18	4	31	5	3	16	53	0	6	6	3
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Filimonas	7	4	12	1	63	13	9	12	1	20	14	4	24	6	12	20	2	10	25	6
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Filimonas|s__Filimonas_sp._TTM-71	0	2	2	0	10	3	3	10	1	5	1	0	4	0	8	1	1	2	0	2
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Filimonas|s__Filimonas_lacunae	1	1	8	0	33	4	1	0	0	4	12	2	0	1	1	6	1	2	5	4
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Filimonas|s__Filimonas_endophytica	3	1	2	1	17	2	3	1	0	1	0	1	9	4	0	9	0	3	15	0
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Filimonas|s__Filimonas_sp._YR581	3	0	0	0	3	4	2	1	0	10	1	1	10	1	3	4	0	3	5	0
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Pseudoflavitalea	7	9	0	2	22	8	22	8	10	3	1	7	12	0	10	2	0	7	1	6
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Pseudoflavitalea|s__Pseudoflavitalea_sp._5GH32-13	2	0	0	1	10	6	8	3	4	1	1	6	9	0	0	0	0	6	1	5
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Pseudoflavitalea|s__Pseudoflavitalea_rhizosphaerae	5	9	0	1	12	2	14	5	6	2	0	1	3	0	10	2	0	1	0	1
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Flavihumibacter	8	9	4	10	26	6	13	3	5	19	1	10	25	66	3	4	1	18	24	14
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Flavihumibacter|s__Flavihumibacter_solisilvae	0	6	0	1	11	0	4	0	1	1	1	1	8	0	0	0	0	10	0	0
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Flavihumibacter|s__Flavihumibacter_sp._ZG627	2	0	0	8	12	6	4	1	3	8	0	4	15	66	3	4	0	3	23	8
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Flavihumibacter|s__Flavihumibacter_petaseus	6	3	4	1	3	0	5	2	1	10	0	5	2	0	0	0	1	3	1	6
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Cnuella	10	6	4	10	8	1	16	6	44	0	0	0	17	62	4	59	0	5	66	31
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Cnuella|s__Cnuella_takakiae	10	6	4	10	8	1	16	6	44	0	0	0	17	62	4	59	0	5	66	31
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|s__Chitinophagaceae_bacterium_HME-24	1	1	7	2	17	5	1	0	4	5	1	5	5	7	9	19	0	4	3	37
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|s__Chitinophagaceae_bacterium_IBVUCB1	3	1	13	1	3	5	4	1	9	7	0	21	0	0	8	2	6	2	2	5
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|s__Chitinophagaceae_bacterium_IBVUCB2	8	4	12	2	16	21	1	4	3	18	3	5	17	3	11	8	2	2	35	14
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Arachidicoccus	12	8	17	6	37	9	35	7	5	6	3	1	21	28	12	24	5	5	31	40
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Arachidicoccus|s__Arachidicoccus_ginsenosidivorans	1	0	0	0	3	0	19	0	0	0	0	0	0	1	10	13	1	0	0	0
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Arachidicoccus|s__Arachidicoccus_rhizosphaerae	1	3	8	1	1	0	4	2	0	1	0	0	2	12	2	1	0	0	19	17
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Arachidicoccus|s__Arachidicoccus_sp._BS20	2	5	1	4	28	0	1	1	1	2	0	1	2	15	0	4	0	0	12	0
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Arachidicoccus|s__Arachidicoccus_sp._B3-10	3	0	8	1	5	8	9	4	4	3	2	0	10	0	0	6	0	5	0	21
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Arachidicoccus|s__Arachidicoccus_sp._KIS59-12	5	0	0	0	0	1	2	0	0	0	1	0	7	0	0	0	4	0	0	2
